model;brand;body_type;segment;usable_battery_kwh;real_range_km;efficiency_wh_km;zero_to_100_s;top_speed_kmh;towing_capacity_kg;price;charging_time_min;max_charging_power_kw;horsepower_hp;torque_nm;maintenance_cost_eur_year;seating_capacity;boot_capacity_l;adas_level;safety_rating_ncap;usage_type;energy_cost_eur_100km;insurance_rating;powertrain_type;fuel_type
Audi L4;Audi;Crossover;B;0;752;553;10,6;212;1418;34741;0;0;119;209;429;5;634;0;4;Personal;10,55;3;Essence;Essence
Fiat 333;Fiat;Wagon;A;0;619;568;11,3;182;1080;21045;0;0;73;100;353;5;823;0;5;Personal;10,85;2;Essence;Essence
Volvo I9;Volvo;Convertible;D;0;825;669;9,6;250;0;52770;0;0;195;268;631;3;317;1;3;Personal;12,79;4;Essence;Essence
Renault T5;Renault;Sedan;C;0;1100;450;9,6;216;1076;38644;0;0;141;214;431;5;449;1;3;Commercial;7,67;3;Essence;Essence
BMW NN-99;BMW;Hatchback;B;1,4;881;433;9,6;232;524;35143;0;0;154;270;509;5;317;1;4;Commercial;7,44;2;Hybrid;Hybride Essence
Skoda VV-44;Skoda;Wagon;C;0;666;653;9,4;242;1279;44341;0;0;186;328;489;5;736;1;4;Personal;12,47;4;Essence;Essence
Dacia 888;Dacia;Sedan;C;0;846;608;10,1;223;1046;46020;0;0;179;365;443;5;516;1;4;Personal;10,03;4;Diesel;Diesel
Nissan WW-22;Nissan;Hatchback;C;0;1017;484;9,8;205;634;41568;0;0;152;208;383;5;456;1;5;Personal;9,24;4;Essence;Essence
Seat N9x;Seat;Coupe;C;0;829;642;10,1;191;620;40900;0;0;134;254;690;2;287;1;4;Personal;10,58;3;Diesel;Diesel
Volkswagen D-Class;Volkswagen;SUV;A;0;597;606;9,3;204;1901;30885;0;0;118;220;610;6;700;0;4;Commercial;9,99;2;Diesel;Diesel
Lexus D3x;Lexus;SUV;D;0;943;583;10;221;1703;49435;0;0;122;161;200;5;753;1;5;Commercial;11,13;5;Essence;Essence
BMW QQ-5;BMW;Hatchback;B;0;892;489;10,1;183;586;25814;0;0;83;136;424;5;350;0;4;Personal;9,34;2;Essence;Essence
Toyota Q8;Toyota;Hatchback;B;0;574;673;9,3;217;682;32271;0;0;139;230;641;5;323;1;5;Personal;12,86;3;Essence;Essence
Hyundai H-Class;Hyundai;Coupe;B;0;558;700;10,2;217;513;37690;0;0;150;245;608;3;342;1;4;Personal;14,44;4;Essence;Essence
Fiat L77;Fiat;SUV;C;0,8;900;445;11,7;225;1756;41885;0;0;169;238;807;6;687;1;4;Personal;7,65;3;Hybrid;Hybride Essence
Opel G99;Opel;Hatchback;B;0;746;619;10,3;245;768;33947;0;0;138;233;552;5;333;1;4;Personal;10,21;3;Diesel;Diesel
Volkswagen T-Class;Volkswagen;SUV;C;0;594;694;10;220;1707;45096;0;0;160;252;591;5;561;1;5;Personal;13,26;5;Essence;Essence
Volkswagen AA-22;Volkswagen;Hatchback;B;0;656;599;9,7;205;591;28687;0;0;142;195;429;5;422;1;5;Personal;11,44;3;Essence;Essence
Fiat F-Class;Fiat;Hatchback;A;0;711;533;10,3;188;700;30081;0;0;97;154;373;5;468;0;4;Personal;8,79;3;Diesel;Diesel
Jaguar A44;Jaguar;Sedan;E;16;900;423;9,8;250;927;73475;25;0;236;389;635;5;509;1;5;Personal;5,45;5;Hybrid;Hybride Essence
Peugeot BB-99;Peugeot;Crossover;C;1,8;900;312;8,9;236;1657;44927;0;0;185;257;514;5;442;1;4;Personal;5,36;4;Hybrid;Hybride Essence
Toyota SS-33;Toyota;Sedan;B;0;872;463;8,1;250;955;41785;0;0;193;253;886;5;566;1;3;Personal;8,84;3;Essence;Essence
Honda 777;Honda;SUV;C;0;1094;450;10,8;195;1885;38616;0;0;108;151;444;5;761;0;5;Personal;7,99;4;Essence;Essence
BMW F1;BMW;SUV;B;1,8;900;367;10;210;1759;31679;0;0;135;180;480;6;465;1;4;Personal;6,31;2;Hybrid;Hybride Essence
Audi D-Class;Audi;SUV;D;0;1039;506;9,9;229;1759;55443;0;0;175;252;564;5;450;1;4;Personal;9,66;3;Essence;Essence
Skoda 666;Skoda;Hatchback;A;0;542;620;10,3;242;624;37286;0;0;187;313;675;5;328;1;5;Personal;11,84;5;Essence;Essence
Subaru U9 Pro;Subaru;Hatchback;C;0;1100;450;10,7;219;722;39166;0;0;122;237;676;5;495;1;5;Personal;6,91;2;Diesel;Diesel
Fiat EE-22;Fiat;Hatchback;E;1,7;900;393;8,2;250;717;82116;0;0;269;359;412;5;506;2;5;Personal;6,76;7;Hybrid;Hybride Essence
Hyundai 111;Hyundai;SUV;B;1,1;721;500;10,8;230;1812;33385;0;0;125;199;682;5;629;1;4;Personal;10,04;3;Hybrid;Hybride Essence
Mini R5 Pro;Mini;Wagon;B;0;641;625;13;169;1176;26679;0;0;70;100;472;5;670;0;5;Sports;11,93;3;Essence;Essence
Hyundai A2 Pro;Hyundai;Hatchback;C;0;1100;450;12,1;191;695;39226;0;0;108;173;243;5;504;0;5;Personal;7,1;2;Diesel;Diesel
DS Automobiles N5 Pro;DS Automobiles;Wagon;F;1,4;900;321;6,2;250;1399;121296;0;0;368;622;671;5;598;3;4;Personal;5,51;9;Hybrid;Hybride Essence
Hyundai S-Class;Hyundai;Wagon;C;0;929;504;10,2;237;1233;39888;0;0;173;310;432;5;503;1;4;Personal;9,63;3;Essence;Essence
Vauxhall D88;Vauxhall;Hatchback;D;2;900;362;10,4;233;770;62769;0;0;193;277;708;5;487;1;4;Personal;6,22;5;Hybrid;Hybride Essence
Ford RR9;Ford;Hatchback;B;0;626;650;9,8;235;756;37257;0;0;186;362;653;5;503;1;4;Personal;10,72;4;Diesel;Diesel
Hyundai TT-8;Hyundai;Sedan;D;0;828;629;10,8;208;879;44752;0;0;100;147;639;5;575;0;4;Personal;12,02;2;Essence;Essence
Ford M8 Pro;Ford;Hatchback;B;12,8;900;410;10,7;208;764;32031;47;0;90;152;647;5;420;0;3;Sports;5,21;2;Hybrid;Hybride Essence
Porsche S3;Porsche;SUV;C;1,8;900;456;10,3;227;1802;40836;0;0;137;217;477;6;819;1;5;Personal;7,84;2;Hybrid;Hybride Essence
Lamborghini A5;Lamborghini;Hatchback;B;0;1100;450;9,7;219;550;32955;0;0;130;235;608;5;314;1;3;Personal;6,98;3;Diesel;Diesel
Nissan B7 Pro;Nissan;Coupe;C;0;885;549;10,7;213;430;40275;0;0;142;278;722;3;359;1;3;Commercial;9,05;2;Diesel;Diesel
Volvo LL-88;Volvo;SUV;B;9,9;900;300;11,1;216;2039;37840;54;0;132;217;556;5;815;1;3;Personal;5;4;Hybrid;Hybride Essence
Vauxhall 444;Vauxhall;Wagon;D;0;1100;456;8,8;250;1340;54192;0;0;209;374;477;5;717;1;5;Personal;8,71;4;Essence;Essence
Fiat T2x;Fiat;Wagon;D;15,9;900;485;7,7;250;1164;57637;52;0;273;405;787;5;612;2;4;Commercial;5,96;5;Hybrid;Hybride Essence
Ford U-Class;Ford;SUV;D;0;1044;525;7,9;250;1881;56409;0;0;237;485;645;6;525;1;5;Personal;8,66;5;Diesel;Diesel
Ford 222;Ford;MPV;F;0;1100;567;7,2;250;1226;115143;0;0;337;665;608;8;592;2;4;Personal;9,35;6;Diesel;Diesel
Dacia R88;Dacia;Pickup;C;0;644;700;10,1;217;2500;41547;0;0;142;219;765;2;0;1;5;Commercial;14,69;2;Essence;Essence
Peugeot F-Class;Peugeot;SUV;D;0;863;635;7,7;250;1784;62923;0;0;234;363;362;7;488;1;4;Personal;12,12;6;Essence;Essence
Mitsubishi R3 Pro;Mitsubishi;Hatchback;A;0;450;700;11,5;228;727;30907;0;0;165;290;469;5;314;1;4;Personal;14,79;2;Essence;Essence
Hyundai ZZ-77;Hyundai;SUV;E;0;1100;538;6,6;250;1704;75852;0;0;291;532;605;7;647;2;5;Personal;8,88;6;Diesel;Diesel
Porsche WW-11;Porsche;Sedan;C;0;663;694;9,5;227;884;39505;0;0;125;184;631;5;504;1;5;Personal;13,25;3;Essence;Essence
Land Rover B-Class;Land Rover;SUV;C;0;744;552;10,5;246;1471;36967;0;0;155;205;501;6;490;1;5;Personal;10,55;4;Essence;Essence
Toyota XX-2;Toyota;SUV;C;1,5;900;418;9,7;250;1831;46681;0;0;193;280;484;5;700;1;5;Personal;7,19;3;Hybrid;Hybride Essence
Toyota C-Class;Toyota;SUV;D;1,6;900;392;8,9;250;1920;57643;0;0;193;272;691;7;647;1;4;Personal;6,74;4;Hybrid;Hybride Essence
Audi 777;Audi;Wagon;D;0;1100;529;8;250;1403;60819;0;0;240;376;738;5;620;1;5;Personal;8,73;6;Diesel;Diesel
Cupra Q9;Cupra;Sedan;D;0;1069;526;9,4;240;958;55669;0;0;201;328;536;5;596;1;3;Personal;10,05;5;Essence;Essence
Peugeot FF-8;Peugeot;SUV;C;0;828;562;9,3;250;1756;48460;0;0;207;356;652;5;707;1;4;Sports;9,27;3;Diesel;Diesel
Suzuki W-Class;Suzuki;SUV;C;1,8;900;372;9,9;217;1701;45274;0;0;131;176;393;7;590;1;5;Personal;6,4;4;Hybrid;Hybride Essence
Ford H6 Pro;Ford;Wagon;E;15,5;900;350;9,7;250;1143;74446;44;0;205;301;546;5;838;1;5;Commercial;5;5;Hybrid;Hybride Essence
Fiat M2x;Fiat;Crossover;D;1,9;900;396;9,5;244;1308;56475;0;0;199;273;561;6;753;1;3;Personal;6,81;5;Hybrid;Hybride Essence
Renault TT-77;Renault;Hatchback;C;8,1;900;326;10,5;221;670;47686;43;0;171;273;397;5;400;1;4;Personal;5;3;Hybrid;Hybride Essence
Renault K11;Renault;Crossover;C;0;872;564;11,3;204;1353;32381;0;0;73;110;295;7;630;0;3;Personal;10,78;3;Essence;Essence
Vauxhall X5x;Vauxhall;Hatchback;C;0;978;490;11;215;628;39575;0;0;121;213;475;5;513;1;4;Personal;9,37;3;Essence;Essence
Volvo N9x;Volvo;Wagon;D;0;900;565;8,3;250;1175;57299;0;0;241;387;721;5;682;2;5;Personal;10,79;5;Essence;Essence
BMW ZZ-5;BMW;Crossover;C;0;757;646;10,1;237;1540;45750;0;0;166;280;619;7;456;1;3;Personal;12,34;2;Essence;Essence
Suzuki A5x;Suzuki;SUV;E;0;867;644;8,5;250;1602;73886;0;0;256;375;531;6;602;2;4;Commercial;12,29;7;Essence;Essence
Peugeot RR-55;Peugeot;Wagon;E;1,8;900;500;9,1;246;1159;74602;0;0;233;390;901;5;792;1;5;Personal;11,02;7;Hybrid;Hybride Essence
Mini C88;Mini;Coupe;C;0;813;598;9,3;250;582;49412;0;0;210;403;497;3;377;1;4;Personal;9,87;3;Diesel;Diesel
Opel E9;Opel;Wagon;B;1;900;383;9,3;195;1368;36929;0;0;123;221;590;5;795;1;4;Sports;6,59;4;Hybrid;Hybride Essence
Renault DD7;Renault;Crossover;C;1,4;900;486;9,2;240;1491;46769;0;0;174;283;491;5;747;1;5;Personal;7,22;3;Hybrid;Hybride Diesel
BMW F66;BMW;Wagon;C;0;620;674;9,9;250;1464;46605;0;0;161;284;692;5;723;1;4;Personal;12,88;3;Essence;Essence
Volvo VV-7;Volvo;SUV;C;9,3;900;400;9,8;231;1884;50374;51;0;177;307;542;6;724;1;4;Personal;5;4;Hybrid;Hybride Diesel
Alfa Romeo S-Class;Alfa Romeo;Wagon;E;0;801;700;7,8;250;1207;78753;0;0;310;545;607;5;555;2;5;Personal;13,47;7;Essence;Essence
Hyundai A99;Hyundai;Coupe;B;0;593;700;10,5;211;649;32737;0;0;138;219;648;4;353;1;4;Commercial;14,45;4;Essence;Essence
Ferrari II-9;Ferrari;Hatchback;C;1,5;900;426;9;242;639;50218;0;0;184;259;540;5;420;1;4;Sports;7,33;4;Hybrid;Hybride Essence
Skoda S9x;Skoda;Sedan;E;0;774;700;8,9;250;774;77547;0;0;247;393;687;5;386;2;4;Personal;14;5;Essence;Essence
Peugeot UU-1;Peugeot;Sedan;E;0;1100;492;7,3;250;1011;77916;0;0;282;572;656;5;419;2;5;Commercial;8,12;7;Diesel;Diesel
Citroën E5x;Citroën;Hatchback;C;0;854;567;10,7;242;764;42854;0;0;152;311;276;5;461;1;5;Personal;9,36;3;Diesel;Diesel
Aston Martin Q3x;Aston Martin;SUV;B;0;636;657;11,3;214;1925;29612;0;0;123;217;782;6;481;1;5;Personal;12,55;3;Essence;Essence
Audi P2 Pro;Audi;Sedan;C;0;1100;450;10,3;222;1023;42999;0;0;131;200;591;5;533;1;5;Commercial;7,65;4;Essence;Essence
DS Automobiles A2x;DS Automobiles;Crossover;C;1,5;900;411;9,6;231;1741;47578;0;0;150;255;503;5;604;1;4;Personal;7,06;3;Hybrid;Hybride Essence
Opel 222;Opel;Hatchback;C;0;976;468;10,3;201;526;35868;0;0;108;167;679;5;401;0;4;Personal;8,94;3;Essence;Essence
BMW DD-4;BMW;Sedan;B;0;994;450;10,1;218;857;32274;0;0;104;171;396;5;526;0;4;Sports;7,89;3;Essence;Essence
Peugeot WW3;Peugeot;Crossover;C;0;1100;450;9,5;217;1465;39772;0;0;147;255;479;7;648;1;4;Personal;6,08;4;Diesel;Diesel
BMW XX-7;BMW;SUV;D;0;1100;492;7,8;250;1940;59470;0;0;278;464;497;7;747;2;4;Personal;8,12;5;Diesel;Diesel
Kia 444;Kia;SUV;C;0;837;638;8,8;239;1845;42273;0;0;200;349;596;6;649;1;4;Personal;10,53;4;Diesel;Diesel
Volvo ZZ-77;Volvo;Coupe;D;1,2;900;447;8;250;640;65058;0;0;210;305;496;2;237;1;5;Personal;7,69;4;Hybrid;Hybride Essence
Skoda L3;Skoda;Pickup;C;0;602;700;10,1;209;2500;36879;0;0;128;194;492;2;0;1;3;Personal;14;3;Essence;Essence
Mazda BB-5;Mazda;Crossover;C;0;1100;450;9,5;243;1498;50194;0;0;185;348;434;6;720;1;4;Personal;7,02;5;Diesel;Diesel
Nissan SS9;Nissan;Hatchback;C;0;1055;450;8,3;250;782;55416;0;0;238;383;560;5;505;1;4;Personal;7,32;3;Diesel;Diesel
Porsche 666;Porsche;Hatchback;F;1,6;900;500;5,7;250;731;119198;0;0;377;617;731;5;342;3;4;Commercial;9,45;10;Hybrid;Hybride Essence
Dacia F6;Dacia;Pickup;C;1,9;900;422;9,4;214;2500;42054;0;0;101;135;675;2;0;0;4;Personal;6,27;4;Hybrid;Hybride Diesel
Honda K-Class;Honda;Crossover;C;0;1100;468;9,9;250;1578;46840;0;0;195;291;622;5;614;1;4;Commercial;7,72;3;Diesel;Diesel
Ford I22;Ford;Wagon;C;0;1100;450;9,1;239;1252;45382;0;0;202;328;561;5;691;1;5;Commercial;6,14;3;Diesel;Diesel
Kia 666;Kia;Crossover;E;0;1100;450;6,8;250;1618;82876;0;0;353;569;787;7;639;2;3;Personal;6,62;7;Diesel;Diesel
Volvo G5;Volvo;Hatchback;C;1,7;890;467;9,9;232;706;47381;0;0;160;275;687;5;313;1;4;Personal;8,03;3;Hybrid;Hybride Essence
Mitsubishi A-Class;Mitsubishi;SUV;C;0,8;900;474;9,9;223;1820;44448;0;0;176;295;690;7;512;1;4;Commercial;8,15;5;Hybrid;Hybride Essence
BMW C8x;BMW;Coupe;D;0;983;628;8,9;250;380;58544;0;0;223;419;695;2;229;1;4;Sports;10,35;6;Diesel;Diesel
Hyundai ZZ-22;Hyundai;Convertible;B;0;917;530;10,9;222;118;29274;0;0;99;189;469;3;292;0;5;Personal;8,74;2;Diesel;Diesel
Dacia E5 Pro;Dacia;Sedan;C;0;937;521;10,9;204;1105;40425;0;0;126;236;569;5;528;1;5;Personal;8,59;2;Diesel;Diesel
BMW T9 Pro;BMW;Crossover;C;0;651;661;10,4;228;1284;41662;0;0;161;276;576;6;644;1;5;Personal;12,63;3;Essence;Essence
Vauxhall S9;Vauxhall;Hatchback;F;0;1100;454;8,8;250;777;103343;0;0;273;492;369;5;369;2;3;Personal;7,49;9;Diesel;Diesel
Porsche N8;Porsche;MPV;D;0;1060;528;9,7;217;1182;48734;0;0;137;180;536;8;592;1;4;Personal;10,08;4;Essence;Essence
Peugeot E2 Pro;Peugeot;Sedan;A;0;479;700;10,6;213;878;25930;0;0;123;212;731;5;403;1;5;Personal;15,19;4;Essence;Essence
Saab C-Class;Saab;Wagon;D;0;914;642;7,8;250;1275;61961;0;0;225;397;558;5;701;1;3;Commercial;10,58;5;Diesel;Diesel
Aston Martin O-Class;Aston Martin;Sedan;D;13,1;900;450;7,8;250;896;56610;40;0;265;467;391;5;562;2;4;Personal;5,75;7;Hybrid;Hybride Essence
Dacia 666;Dacia;Crossover;C;1,5;787;500;9,2;250;1547;51568;0;0;189;329;483;7;551;1;4;Personal;9,07;4;Hybrid;Hybride Essence
Mercedes-Benz N77;Mercedes-Benz;Crossover;B;0;757;512;11;211;1457;31788;0;0;115;173;435;7;751;0;5;Personal;9,78;4;Essence;Essence
Skoda S-Class;Skoda;SUV;B;0;1100;450;9,7;250;1981;32560;0;0;167;294;682;5;820;1;5;Commercial;7,65;4;Essence;Essence
Honda U4 Pro;Honda;Coupe;C;0;917;491;10,5;224;472;43943;0;0;143;219;902;3;212;1;4;Personal;8,1;4;Diesel;Diesel
Peugeot X9x;Peugeot;Convertible;C;0;877;498;10,1;215;0;39829;0;0;132;215;548;2;318;1;4;Personal;9,51;3;Essence;Essence
Opel KK-99;Opel;Coupe;E;0;924;619;8;250;542;72159;0;0;247;406;496;4;339;2;5;Commercial;11,82;5;Essence;Essence
Volkswagen T5x;Volkswagen;SUV;B;0;741;508;9,8;222;1700;36442;0;0;133;229;385;7;669;1;4;Personal;9,7;3;Essence;Essence
Audi 666;Audi;Wagon;D;0;884;657;9,8;250;1228;56413;0;0;187;288;686;5;578;1;4;Sports;12,54;6;Essence;Essence
Toyota L-Class;Toyota;Crossover;B;0;621;605;11,1;192;1698;29171;0;0;70;100;579;7;551;0;3;Personal;11,56;3;Essence;Essence
Mazda 333;Mazda;Crossover;D;0;1100;510;7,8;229;1495;57936;0;0;194;295;757;7;701;1;4;Personal;8,41;5;Diesel;Diesel
Mazda B88;Mazda;SUV;A;0;628;685;11,2;208;1637;26851;0;0;104;183;499;5;626;0;4;Commercial;11,31;2;Diesel;Diesel
Kia HH7;Kia;Crossover;C;1,9;900;371;9;243;1450;48413;0;0;175;267;751;7;729;1;4;Personal;6,38;5;Hybrid;Hybride Essence
Fiat M2;Fiat;Hatchback;B;0;677;603;10,7;197;797;31502;0;0;112;190;588;5;358;0;4;Personal;9,94;3;Diesel;Diesel
Citroën 222;Citroën;SUV;C;1,8;900;463;8,7;249;1813;46177;0;0;190;308;479;7;565;1;4;Personal;7,96;4;Hybrid;Hybride Essence
Volkswagen W1x;Volkswagen;Hatchback;C;0;910;506;10,9;176;784;39595;0;0;96;172;311;5;470;0;3;Commercial;8,35;3;Diesel;Diesel
Renault UU-9;Renault;Sedan;D;0,9;900;312;6,9;250;824;59519;0;0;232;315;527;5;409;1;5;Personal;5,36;6;Hybrid;Hybride Essence
Opel N4 Pro;Opel;Hatchback;B;0;988;460;9,1;250;651;45958;0;0;202;307;558;5;411;1;4;Personal;7,6;4;Diesel;Diesel
Audi L4x;Audi;Sedan;C;0;726;585;10;222;976;40749;0;0;121;211;394;5;461;1;3;Personal;11,17;4;Essence;Essence
Volkswagen X3x;Volkswagen;Wagon;C;0;880;578;9;240;1393;42505;0;0;162;312;651;5;723;1;4;Commercial;9,53;3;Diesel;Diesel
Audi 555;Audi;Crossover;A;0;559;700;11,6;179;1454;24823;0;0;80;123;415;6;476;0;4;Personal;13,72;1;Essence;Essence
Subaru MM1;Subaru;Hatchback;A;0;727;511;10,8;180;704;29006;0;0;96;171;443;5;309;0;4;Personal;8,42;1;Diesel;Diesel
Nissan Q1x;Nissan;Wagon;C;1,4;900;466;10,2;226;1332;45415;0;0;129;175;417;5;808;1;4;Commercial;8,01;4;Hybrid;Hybride Essence
Porsche A5;Porsche;MPV;C;0;810;506;8,3;250;1216;51064;0;0;225;322;414;6;542;1;4;Personal;9,67;5;Essence;Essence
Ford K99;Ford;Convertible;F;0;1100;493;7,2;250;77;115711;0;0;350;690;642;2;234;2;4;Personal;8,14;8;Diesel;Diesel
Toyota F-Class;Toyota;Coupe;B;1,5;900;406;10,4;227;411;34461;0;0;113;154;452;4;238;0;4;Personal;6,98;3;Hybrid;Hybride Essence
Audi N-Class;Audi;Pickup;D;0;1100;450;10,5;218;2500;52364;0;0;174;270;575;4;0;1;4;Personal;7,05;4;Diesel;Diesel
Toyota Z-Class;Toyota;Crossover;D;0;745;691;10;250;1425;55844;0;0;192;304;611;7;658;1;4;Commercial;13,2;3;Essence;Essence
BMW O8x;BMW;Pickup;D;0;1100;450;11,4;202;2298;49314;0;0;118;234;755;5;0;0;4;Personal;7,39;3;Diesel;Diesel
Fiat B6x;Fiat;MPV;C;0;1053;450;10;250;1094;47337;0;0;187;279;684;8;719;1;5;Personal;7,65;4;Essence;Essence
Seat I3x;Seat;Sedan;F;1,8;900;500;6,7;250;954;108113;0;0;324;527;457;5;620;2;5;Personal;7,59;7;Hybrid;Hybride Diesel
Fiat K6;Fiat;Convertible;C;10,7;900;415;9,4;239;66;44886;44;0;186;325;669;3;241;1;3;Personal;5,26;4;Hybrid;Hybride Essence
Citroën M8x;Citroën;Coupe;D;0;1001;563;8,9;236;592;54734;0;0;207;362;704;3;248;1;4;Commercial;10,75;4;Essence;Essence
Honda LL-99;Honda;Wagon;B;0;857;526;10,2;226;1261;36866;0;0;169;297;692;5;840;1;5;Personal;8,68;2;Diesel;Diesel
Vauxhall T8;Vauxhall;MPV;D;1,4;900;364;8,6;250;1173;66474;0;0;235;340;537;6;913;1;4;Personal;5,41;4;Hybrid;Hybride Diesel
Kia L-Class;Kia;SUV;F;0;1066;603;6,5;250;1580;110783;0;0;350;555;836;5;739;2;4;Personal;11,53;8;Essence;Essence
Nissan RR-1;Nissan;SUV;E;0;867;694;8,4;250;1663;79166;0;0;306;620;576;6;619;2;5;Personal;11,45;8;Diesel;Diesel
Toyota E4x;Toyota;Crossover;C;10,6;900;415;9,7;220;1633;44533;33;0;157;257;672;6;636;1;4;Personal;5,59;3;Hybrid;Hybride Essence
Volkswagen II7;Volkswagen;Wagon;D;0,9;900;339;7,1;250;1099;71647;0;0;301;535;755;5;610;2;3;Personal;5,04;6;Hybrid;Hybride Diesel
Suzuki E3x;Suzuki;Convertible;B;0;606;700;9,9;223;0;37582;0;0;144;263;646;2;184;1;4;Personal;12,18;3;Diesel;Diesel
Toyota L5x;Toyota;Convertible;D;0,9;900;339;9,6;250;8;60573;0;0;214;280;363;4;192;1;3;Commercial;5,83;6;Hybrid;Hybride Essence
Citroën D7;Citroën;Wagon;C;0;657;699;10,8;212;1034;35356;0;0;111;170;541;5;721;0;3;Personal;13,35;1;Essence;Essence
Opel UU6;Opel;MPV;D;0;912;671;9,5;243;1240;60008;0;0;197;396;718;6;619;1;5;Personal;11,06;4;Diesel;Diesel
Porsche BB-1;Porsche;Hatchback;C;0;658;638;10;234;883;42664;0;0;161;212;552;5;517;1;3;Personal;12,18;4;Essence;Essence
Nissan F3x;Nissan;MPV;A;0;651;609;9,4;210;1198;28910;0;0;109;201;555;5;532;0;5;Personal;10,04;2;Diesel;Diesel
Lamborghini 333;Lamborghini;Hatchback;B;1;797;467;8,3;250;668;40880;0;0;213;317;533;5;410;1;4;Personal;8,03;4;Hybrid;Hybride Essence
Nissan F-Class;Nissan;Crossover;A;0;691;494;11,1;205;1361;24619;0;0;74;112;431;6;611;0;5;Personal;9,43;2;Essence;Essence
Fiat Q8x;Fiat;Hatchback;C;0;598;700;9,8;228;667;43013;0;0;172;273;542;5;421;1;5;Personal;13,62;2;Essence;Essence
Ferrari N-Class;Ferrari;Crossover;D;0;1100;522;9,2;216;1565;56003;0;0;160;277;740;5;593;1;5;Commercial;8,61;4;Diesel;Diesel
Citroën UU2;Citroën;SUV;D;9,2;900;454;6,9;250;1799;69375;23;0;302;532;547;7;467;2;4;Commercial;5,66;6;Hybrid;Hybride Essence
Fiat A2x;Fiat;Hatchback;D;1,5;900;500;9,5;218;647;55763;0;0;167;243;597;5;447;1;4;Personal;10,29;5;Hybrid;Hybride Essence
Honda 555;Honda;Crossover;D;12,1;900;422;8,3;250;1621;67983;60;0;298;500;306;5;509;2;4;Sports;5;4;Hybrid;Hybride Diesel
Volkswagen 666;Volkswagen;Wagon;C;2;900;428;8,5;221;1169;43911;0;0;165;222;486;5;604;1;5;Personal;7,36;3;Hybrid;Hybride Essence
Ford I9 Pro;Ford;Hatchback;C;1,3;900;419;9,6;183;649;36697;0;0;81;118;584;5;433;0;5;Personal;7,2;2;Hybrid;Hybride Essence
Citroën V7 Pro;Citroën;Wagon;C;0;1052;450;10,2;249;1217;43398;0;0;199;275;690;5;814;1;4;Personal;7,65;4;Essence;Essence
Honda A9;Honda;Hatchback;B;1,2;900;312;9,2;204;857;35018;0;0;143;202;402;5;491;1;4;Personal;5,36;3;Hybrid;Hybride Essence
Nissan D8;Nissan;Hatchback;C;0;776;616;9,9;209;681;42387;0;0;142;258;619;5;489;1;4;Personal;10,16;3;Diesel;Diesel
Mazda N8 Pro;Mazda;Hatchback;D;0;1100;506;7,8;245;594;56839;0;0;231;390;732;5;468;1;4;Personal;8,34;6;Diesel;Diesel
Nissan SS-33;Nissan;Crossover;C;1,6;900;424;9;250;1565;45288;0;0;197;260;471;6;566;1;4;Personal;7,28;5;Hybrid;Hybride Essence
Dacia CC-3;Dacia;Wagon;D;0;729;700;9;250;1160;61638;0;0;207;358;373;5;835;1;3;Personal;13,53;4;Essence;Essence
Volvo PP1;Volvo;Crossover;B;0;1100;450;10,5;238;1567;40832;0;0;175;330;443;7;728;1;4;Personal;7,27;3;Diesel;Diesel
Hyundai P-Class;Hyundai;Coupe;D;0;948;603;9,6;249;254;57700;0;0;200;356;378;3;343;1;3;Sports;11,52;4;Essence;Essence
Mitsubishi I3x;Mitsubishi;Crossover;B;0;680;651;9,4;220;1504;35864;0;0;141;240;619;7;421;1;4;Commercial;12,44;4;Essence;Essence
Peugeot C3x;Peugeot;Coupe;E;0;1093;602;7,3;250;470;74000;0;0;244;443;658;4;313;2;4;Personal;9,94;5;Diesel;Diesel
Citroën 111;Citroën;Pickup;B;0;616;677;10,4;234;2385;33990;0;0;146;223;485;2;0;1;5;Personal;12,93;2;Essence;Essence
Fiat RR-5;Fiat;SUV;C;0;934;519;9,9;198;1654;41085;0;0;139;284;475;5;789;1;5;Commercial;8,57;3;Diesel;Diesel
Citroën ZZ-8;Citroën;Hatchback;C;0;843;528;10,4;183;666;36493;0;0;100;151;641;5;417;0;4;Personal;10,09;3;Essence;Essence
Skoda HH7;Skoda;Hatchback;B;1,2;900;450;11;232;572;34794;0;0;132;207;502;5;317;1;4;Sports;7,74;3;Hybrid;Hybride Essence
Seat XX7;Seat;Crossover;C;0;1100;450;9;228;1144;39600;0;0;149;251;626;6;542;1;5;Personal;6,78;3;Diesel;Diesel
Lexus B8 Pro;Lexus;Crossover;B;1,7;900;382;9,3;214;1359;33484;0;0;177;255;446;7;658;1;4;Commercial;6,56;3;Hybrid;Hybride Essence
Renault M3 Pro;Renault;Sedan;C;0;869;625;11,2;205;754;36582;0;0;102;202;418;5;574;0;5;Personal;10,31;3;Diesel;Diesel
Ford II9;Ford;Convertible;E;1,5;900;401;6,5;250;4;87457;0;0;319;454;761;2;267;2;5;Personal;6,89;7;Hybrid;Hybride Essence
Fiat K33;Fiat;MPV;C;1;900;335;10,9;238;1057;46853;0;0;145;199;545;5;717;1;5;Personal;5,76;3;Hybrid;Hybride Essence
Mitsubishi 999;Mitsubishi;Sedan;C;1,3;900;431;10,7;197;900;36517;0;0;71;119;512;5;503;0;4;Personal;7,4;3;Hybrid;Hybride Essence
